timestamp,altitude,velocity,pitch,roll,yaw,anomaly,instability_type,altitude_rolling_mean,altitude_rolling_std,altitude_rolling_min,altitude_rolling_max,altitude_rolling_range,velocity_rolling_mean,velocity_rolling_std,velocity_rolling_min,velocity_rolling_max,velocity_rolling_range,pitch_rolling_mean,pitch_rolling_std,pitch_rolling_min,pitch_rolling_max,pitch_rolling_range,roll_rolling_mean,roll_rolling_std,roll_rolling_min,roll_rolling_max,roll_rolling_range,yaw_rolling_mean,yaw_rolling_std,yaw_rolling_min,yaw_rolling_max,yaw_rolling_range,altitude_rate,altitude_acceleration,altitude_gradient_magnitude,sudden_altitude_drop,rapid_climb_event,altitude_trend,altitude_deviation,altitude_volatility,velocity_rate,velocity_acceleration,velocity_gradient_magnitude,velocity_spike,velocity_drop,velocity_trend,velocity_deviation,velocity_volatility,velocity_stability_score,pitch_oscillation_strength,pitch_oscillation_detected,roll_oscillation_strength,roll_oscillation_detected,combined_oscillation_magnitude,pitch_zero_crossings,pitch_oscillation_frequency,oscillation_stability_score,oscillation_alert
0,10002.483570765056,249.5762403179773,1.864301053902556,-0.0430269649376787,90.1741431238334,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,-2.1749089374970936,7.104556469774252,2.1749089374970936,0,0,10008.61346188912,3.21090910185194,4.796251248559132,0.0703389071055085,-1.3126146338851186,0.0703389071055085,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
1,10000.30866182756,249.6465792250828,1.9638896920246085,0.0351964791816505,90.16166146293618,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,-2.1749089374970936,7.104556469774252,2.1749089374970936,0,0,10008.61346188912,3.21090910185194,4.796251248559132,0.0703389071055085,-1.3126146338851186,0.0703389071055085,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
2,10005.238309359836,248.4043034983032,1.9304404961143853,0.1092344732954413,89.57173741048392,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,4.929647532277159,7.104556469774252,4.929647532277159,0,0,10008.61346188912,3.21090910185194,4.796251248559132,-1.24227572677961,-1.3126146338851186,1.24227572677961,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
3,10010.61469930229,249.9697298406958,2.0968026756260234,0.4188762622908705,90.34978311128684,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,5.376389942453898,0.4467424101767392,5.376389942453898,0,0,10008.61346188912,3.21090910185194,4.796251248559132,1.5654263423926125,2.8077020691722225,1.5654263423926125,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
4,10002.828166545049,251.1324025516676,2.3387703716899133,-0.044596881612644,89.33493733058496,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,-7.78653275724173,-13.162922699695628,7.78653275724173,0,0,10008.61346188912,3.21090910185194,4.796251248559132,1.1626727109718047,-0.4027536314208078,1.1626727109718047,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
5,10003.827232142325,249.2249349641573,1.9694935481990208,-0.0297468987433991,89.77286617566119,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,0.9990655972760578,8.785598354517788,0.9990655972760578,0,0,10008.61346188912,3.21090910185194,4.796251248559132,-1.9074675875102969,-3.0701402984821016,1.9074675875102969,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
6,10013.89246472548,251.6470436874952,2.3479242028843523,0.6395302827816288,89.12038410650999,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,10.065232583156105,9.066166985880043,10.065232583156105,0,0,10008.61346188912,3.21090910185194,4.796251248559132,2.4221087233378853,4.329576310848182,2.4221087233378853,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
7,10010.831458379518,251.1854903943056,2.015114489258348,0.1738964272047598,90.91919895315648,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,-3.061006345962596,-13.1262389291187,3.061006345962596,0,0,10008.61346188912,3.21090910185194,4.796251248559132,-0.4615532931896098,-2.883662016527495,0.4615532931896098,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
8,10005.644097467242,250.0623577111002,2.025183728654949,-0.0223566664324179,90.0440546409657,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,-5.187360912275835,-2.126354566313239,5.187360912275835,0,0,10008.61346188912,3.21090910185194,4.796251248559132,-1.123132683205398,-0.6615793900157882,1.123132683205398,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
9,10011.700655137733,250.75361822979127,2.3812016907242577,0.2545581724032857,91.26319911580418,0,normal,10008.61346188912,4.796251248559132,10000.30866182756,10018.489471569676,18.180809742116253,250.90177241378177,1.289447181741786,248.4043034983032,253.7096133712388,5.305309872935595,2.2239402329972715,0.2373234781643824,1.864301053902556,2.765612722073129,0.9013116681705728,0.4341097569287067,0.3644435424132295,-0.044596881612644,0.952553360910032,0.997150242522676,90.13193267388692,0.5933943501217427,89.12038410650999,91.28820140258613,2.1678172960761373,6.056557670490292,11.243918582766128,6.056557670490292,0,0,10008.61346188912,3.21090910185194,4.796251248559132,0.691260518691081,1.814393201896479,0.691260518691081,0,0,250.90177241378177,1.3509771984056729,1.289447181741786,0.4367866653465275,0.23732347816438246,0,0.3644435424132295,0,0.601767020577612,18.0,0.6,0.6243105190412715,0
